word,cefr_level,part_of_speech,definition
abolish,B2,verb,to end officially
abstract,B2,adjective,theoretical
abundant,B2,adjective,plentiful
academy,B2,noun,educational institution
accelerate,B2,verb,to speed up
accumulate,B2,verb,to gather
accuracy,B2,noun,correctness
adjacent,B2,adjective,next to
adolescent,B2,noun,teenager
advocate,B2,verb,to support publicly
aftermath,B2,noun,consequences
aggregate,B2,noun,total
allocate,B2,verb,to distribute
alter,B2,verb,to change
ambiguous,B2,adjective,unclear
analogy,B2,noun,comparison
anonymous,B2,adjective,unnamed
anticipate,B2,verb,to expect
arbitrary,B2,adjective,random
assert,B2,verb,to state firmly
assumption,B2,noun,belief without proof
assure,B2,verb,to guarantee
attribute,B2,noun,characteristic
behalf,B2,noun,in support of
bias,B2,noun,prejudice
capacity,B2,noun,ability
cease,B2,verb,to stop
challenge,B2,noun,difficult task
clarify,B2,verb,to make clear
coherent,B2,adjective,logical
coincide,B2,verb,to occur together
collapse,B2,verb,to fall down
commence,B2,verb,to begin
commodity,B2,noun,product
compensate,B2,verb,to make up for
compile,B2,verb,to collect
complement,B2,verb,to complete
complex,B2,adjective,complicated
comply,B2,verb,to obey
component,B2,noun,part
comprehensive,B2,adjective,complete
comprise,B2,verb,to consist of
concede,B2,verb,to admit
conceive,B2,verb,to imagine
confer,B2,verb,to discuss
confine,B2,verb,to restrict
conform,B2,verb,to comply
consensus,B2,noun,agreement
consequent,B2,adjective,resulting
considerable,B2,adjective,significant
consist,B2,verb,to be made up of
constant,B2,adjective,unchanging
constitute,B2,verb,to form
constrain,B2,verb,to limit
consult,B2,verb,to seek advice
contemporary,B2,adjective,modern
contradict,B2,verb,to oppose
contrary,B2,adjective,opposite
contrast,B2,noun,difference
contribute,B2,verb,to give
controversy,B2,noun,dispute
convene,B2,verb,to gather
conventional,B2,adjective,traditional
converse,B2,adjective,opposite
convert,B2,verb,to change
cooperate,B2,verb,to work together
coordinate,B2,verb,to organize
core,B2,noun,center
corporate,B2,adjective,relating to corporation
correspond,B2,verb,to match
credible,B2,adjective,believable
cumulative,B2,adjective,increasing
currency,B2,noun,money
cycle,B2,noun,sequence
debate,B2,noun,discussion
decline,B2,verb,to decrease
deduce,B2,verb,to conclude
defect,B2,noun,flaw
demonstrate,B2,verb,to show
denote,B2,verb,to indicate
deny,B2,verb,to refuse
depress,B2,verb,to sadden
derive,B2,verb,to obtain
detect,B2,verb,to discover
deviate,B2,verb,to diverge
device,B2,noun,tool
devote,B2,verb,to dedicate
differentiate,B2,verb,to distinguish
dimension,B2,noun,measurement
diminish,B2,verb,to reduce
discrete,B2,adjective,separate
discriminate,B2,verb,to distinguish
displace,B2,verb,to move
display,B2,verb,to show
dispose,B2,verb,to get rid of
distinct,B2,adjective,different
distort,B2,verb,to twist
diverse,B2,adjective,varied
document,B2,verb,to record
domain,B2,noun,area
domestic,B2,adjective,relating to home
dominate,B2,verb,to control
dramatic,B2,adjective,striking
duration,B2,noun,length of time
dynamic,B2,adjective,energetic
elaborate,B2,adjective,detailed
eliminate,B2,verb,to remove
emerge,B2,verb,to appear
emphasise,B2,verb,to stress
empirical,B2,adjective,based on observation
enable,B2,verb,to allow
encounter,B2,verb,to meet
enforce,B2,verb,to compel
enhance,B2,verb,to improve
enormous,B2,adjective,very large
ensure,B2,verb,to guarantee
entity,B2,noun,thing
equate,B2,verb,to consider equal
equilibrium,B2,noun,balance
equip,B2,verb,to provide
equivalent,B2,adjective,equal
erode,B2,verb,to wear away
error,B2,noun,mistake
ethic,B2,noun,moral principle
eventual,B2,adjective,final
evident,B2,adjective,obvious
evolve,B2,verb,to develop
exceed,B2,verb,to go beyond
exclude,B2,verb,to leave out
exhibit,B2,verb,to display
expand,B2,verb,to grow
explicit,B2,adjective,clear
exploit,B2,verb,to use
expose,B2,verb,to reveal
external,B2,adjective,outside
extract,B2,verb,to remove
facilitate,B2,verb,to make easier
factor,B2,noun,element
feature,B2,noun,characteristic
federal,B2,adjective,relating to federation
file,B2,noun,document
final,B2,adjective,last
finance,B2,noun,money management
finite,B2,adjective,limited
flexible,B2,adjective,adaptable
fluctuate,B2,verb,to vary
focus,B2,verb,to concentrate
format,B2,noun,arrangement
formula,B2,noun,method
forthcoming,B2,adjective,upcoming
foundation,B2,noun,basis
framework,B2,noun,structure
function,B2,noun,purpose
fundamental,B2,adjective,basic
furthermore,B2,adverb,in addition
generate,B2,verb,to produce
generation,B2,noun,age group
global,B2,adjective,worldwide
grade,B2,noun,level
grant,B2,verb,to give
guarantee,B2,verb,to promise
guideline,B2,noun,recommendation
hence,B2,adverb,therefore
hierarchy,B2,noun,ranking system
highlight,B2,verb,to emphasize
hypothesis,B2,noun,theory
identical,B2,adjective,same
identify,B2,verb,to recognize
ideology,B2,noun,belief system
ignorance,B2,noun,lack of knowledge
illustrate,B2,verb,to show
image,B2,noun,picture
immigrate,B2,verb,to move to country
impact,B2,noun,effect
implement,B2,verb,to carry out
implicate,B2,verb,to involve
implicit,B2,adjective,implied
imply,B2,verb,to suggest
impose,B2,verb,to force
incentive,B2,noun,motivation
incidence,B2,noun,occurrence
incline,B2,verb,to lean
income,B2,noun,earnings
incorporate,B2,verb,to include
index,B2,noun,list
indicate,B2,verb,to show
individual,B2,noun,person
induce,B2,verb,to cause
inevitable,B2,adjective,unavoidable
infer,B2,verb,to conclude
infrastructure,B2,noun,basic facilities
inherent,B2,adjective,intrinsic
inhibit,B2,verb,to prevent
initial,B2,adjective,first
initiate,B2,verb,to begin
innovation,B2,noun,new idea
input,B2,noun,contribution
insert,B2,verb,to put in
insight,B2,noun,understanding
inspect,B2,verb,to examine
instance,B2,noun,example
institute,B2,noun,organization
instruct,B2,verb,to teach
integral,B2,adjective,essential
integrate,B2,verb,to combine
integrity,B2,noun,honesty
intelligence,B2,noun,mental ability
intense,B2,adjective,extreme
interact,B2,verb,to communicate
intermediate,B2,adjective,middle
internal,B2,adjective,inside
interpret,B2,verb,to explain
interval,B2,noun,gap
intervene,B2,verb,to interfere
intrinsic,B2,adjective,inherent
invest,B2,verb,to put money
investigate,B2,verb,to examine
invoke,B2,verb,to call upon
involve,B2,verb,to include
isolate,B2,verb,to separate
issue,B2,noun,matter
item,B2,noun,thing
job,B2,noun,work
journal,B2,noun,periodical
justify,B2,verb,to explain
label,B2,noun,tag
labour,B2,noun,work
layer,B2,noun,level
lecture,B2,noun,speech
legal,B2,adjective,lawful
legislate,B2,verb,to make laws
levy,B2,verb,to impose
liberal,B2,adjective,open-minded
licence,B2,noun,permit
likewise,B2,adverb,similarly
link,B2,noun,connection
locate,B2,verb,to find
logic,B2,noun,reasoning
maintain,B2,verb,to keep
major,B2,adjective,main
manipulate,B2,verb,to control
manual,B2,adjective,done by hand
margin,B2,noun,edge
mature,B2,adjective,fully developed
maximise,B2,verb,to increase to maximum
mechanism,B2,noun,system
media,B2,noun,communication channels
mediate,B2,verb,to negotiate
medical,B2,adjective,relating to medicine
medium,B2,noun,means
mental,B2,adjective,relating to mind
method,B2,noun,way
migrate,B2,verb,to move
military,B2,adjective,relating to army
minimal,B2,adjective,smallest
minimise,B2,verb,to reduce
minimum,B2,noun,smallest amount
ministry,B2,noun,government department
minor,B2,adjective,small
mode,B2,noun,manner
modify,B2,verb,to change
monitor,B2,verb,to watch
motive,B2,noun,reason
mutual,B2,adjective,shared
negate,B2,verb,to nullify
network,B2,noun,system
neutral,B2,adjective,impartial
nevertheless,B2,adverb,however
nonetheless,B2,adverb,nevertheless
norm,B2,noun,standard
normal,B2,adjective,usual
notion,B2,noun,idea
notwithstanding,B2,preposition,despite
nuclear,B2,adjective,relating to nucleus
objective,B2,noun,goal
obtain,B2,verb,to get
obvious,B2,adjective,clear
occupy,B2,verb,to fill
occur,B2,verb,to happen
odd,B2,adjective,strange
offset,B2,verb,to counterbalance
ongoing,B2,adjective,continuing
option,B2,noun,choice
orient,B2,verb,to position
outcome,B2,noun,result
output,B2,noun,production
overall,B2,adjective,general
overlap,B2,verb,to partly cover
overseas,B2,adjective,foreign
panel,B2,noun,group
paradigm,B2,noun,model
paragraph,B2,noun,text section
parallel,B2,adjective,similar
parameter,B2,noun,limit
participate,B2,verb,to take part
partner,B2,noun,associate
passive,B2,adjective,inactive
perceive,B2,verb,to notice
percent,B2,noun,part of hundred
period,B2,noun,time span
persist,B2,verb,to continue
perspective,B2,noun,viewpoint
phase,B2,noun,stage
phenomenon,B2,noun,occurrence
philosophy,B2,noun,study of knowledge
physical,B2,adjective,relating to body
plus,B2,preposition,in addition to
policy,B2,noun,plan
portion,B2,noun,part
pose,B2,verb,to present
positive,B2,adjective,good
potential,B2,adjective,possible
practitioner,B2,noun,professional
precede,B2,verb,to come before
precise,B2,adjective,exact
predict,B2,verb,to forecast
predominant,B2,adjective,main
preliminary,B2,adjective,initial
presume,B2,verb,to assume
previous,B2,adjective,earlier
primary,B2,adjective,main
prime,B2,adjective,main
principal,B2,adjective,main
principle,B2,noun,rule
prior,B2,adjective,earlier
priority,B2,noun,importance
proceed,B2,verb,to continue
process,B2,noun,procedure
professional,B2,adjective,expert
prohibit,B2,verb,to forbid
project,B2,noun,plan
promote,B2,verb,to encourage
proportion,B2,noun,ratio
prospect,B2,noun,possibility
protocol,B2,noun,procedure
psychology,B2,noun,study of mind
publication,B2,noun,published work
publish,B2,verb,to produce
purchase,B2,verb,to buy
pursue,B2,verb,to follow
qualitative,B2,adjective,relating to quality
quote,B2,verb,to cite
radical,B2,adjective,extreme
random,B2,adjective,without pattern
range,B2,noun,variety
ratio,B2,noun,proportion
rational,B2,adjective,logical
react,B2,verb,to respond
recover,B2,verb,to get back
refine,B2,verb,to improve
regime,B2,noun,government
region,B2,noun,area
register,B2,verb,to record
regulate,B2,verb,to control
reinforce,B2,verb,to strengthen
reject,B2,verb,to refuse
relax,B2,verb,to rest
release,B2,verb,to free
relevant,B2,adjective,pertinent
reluctance,B2,noun,unwillingness
rely,B2,verb,to depend
remove,B2,verb,to take away
require,B2,verb,to need
research,B2,noun,study
reside,B2,verb,to live
resolve,B2,verb,to solve
resource,B2,noun,supply
respond,B2,verb,to reply
restore,B2,verb,to return
restrain,B2,verb,to limit
restrict,B2,verb,to limit
retain,B2,verb,to keep
reveal,B2,verb,to show
revenue,B2,noun,income
reverse,B2,verb,to turn backward
revise,B2,verb,to change
revolution,B2,noun,major change
rigid,B2,adjective,stiff
role,B2,noun,function
route,B2,noun,path
scenario,B2,noun,situation
schedule,B2,noun,timetable
scheme,B2,noun,plan
scope,B2,noun,extent
section,B2,noun,part
sector,B2,noun,area
secure,B2,verb,to obtain
seek,B2,verb,to search
select,B2,verb,to choose
similar,B2,adjective,alike
simulate,B2,verb,to imitate
site,B2,noun,location
so-called,B2,adjective,named
sole,B2,adjective,only
somewhat,B2,adverb,to some extent
sophisticated,B2,adjective,complex
source,B2,noun,origin
specific,B2,adjective,particular
specify,B2,verb,to state clearly
sphere,B2,noun,area
stable,B2,adjective,steady
statistic,B2,noun,numerical data
status,B2,noun,position
straightforward,B2,adjective,simple
strategy,B2,noun,plan
stress,B2,verb,to emphasize
structure,B2,noun,arrangement
style,B2,noun,manner
submit,B2,verb,to present
subordinate,B2,adjective,lower in rank
subsequent,B2,adjective,following
subsidy,B2,noun,financial aid
substitute,B2,noun,replacement
successor,B2,noun,one who follows
sufficient,B2,adjective,enough
sum,B2,noun,total
summary,B2,noun,overview
supplement,B2,noun,addition
survey,B2,noun,study
survive,B2,verb,to continue living
suspend,B2,verb,to stop temporarily
sustain,B2,verb,to maintain
symbol,B2,noun,sign
tape,B2,noun,recording
target,B2,noun,goal
task,B2,noun,job
team,B2,noun,group
technical,B2,adjective,specialized
technique,B2,noun,method
technology,B2,noun,applied science
temporary,B2,adjective,short-term
tense,B2,adjective,stressed
terminate,B2,verb,to end
text,B2,noun,written work
theme,B2,noun,subject
theory,B2,noun,hypothesis
thereby,B2,adverb,by that means
thesis,B2,noun,argument
topic,B2,noun,subject
trace,B2,verb,to find
tradition,B2,noun,custom
transfer,B2,verb,to move
transform,B2,verb,to change
transit,B2,noun,passage
transmit,B2,verb,to send
transport,B2,verb,to carry
trend,B2,noun,tendency
trigger,B2,verb,to cause
ultimate,B2,adjective,final
undergo,B2,verb,to experience
undertake,B2,verb,to begin
uniform,B2,adjective,consistent
unify,B2,verb,to unite
unique,B2,adjective,one of a kind
utilise,B2,verb,to use
utility,B2,noun,usefulness
valid,B2,adjective,acceptable
vary,B2,verb,to change
vehicle,B2,noun,transport
version,B2,noun,form
via,B2,preposition,through
violate,B2,verb,to break
virtual,B2,adjective,nearly
visible,B2,adjective,able to be seen
vision,B2,noun,sight
visual,B2,adjective,relating to sight
volume,B2,noun,amount
voluntary,B2,adjective,willing
welfare,B2,noun,wellbeing
whereas,B2,conjunction,while
whereby,B2,adverb,by which
widespread,B2,adjective,common
abstract,C1,noun,summary
academy,C1,noun,institution of learning
access,C1,verb,to obtain
accommodate,C1,verb,to provide space
accompany,C1,verb,to go with
accumulate,C1,verb,to gather
accurate,C1,adjective,correct
achieve,C1,verb,to accomplish
acknowledge,C1,verb,to recognize
acquire,C1,verb,to obtain
adapt,C1,verb,to adjust
adequate,C1,adjective,sufficient
adjacent,C1,adjective,next to
adjust,C1,verb,to change
administrate,C1,verb,to manage
adult,C1,noun,grown person
advocate,C1,noun,supporter
affect,C1,verb,to influence
aggregate,C1,verb,to combine
aid,C1,verb,to help
albeit,C1,conjunction,although
allocate,C1,verb,to distribute
alter,C1,verb,to change
alternative,C1,noun,option
ambiguity,C1,noun,uncertainty
amend,C1,verb,to modify
analogy,C1,noun,comparison
analyse,C1,verb,to examine
annual,C1,adjective,yearly
anticipate,C1,verb,to expect
apparent,C1,adjective,clear
append,C1,verb,to add
appreciate,C1,verb,to value
approach,C1,noun,method
appropriate,C1,adjective,suitable
approximate,C1,adjective,nearly exact
arbitrary,C1,adjective,random
area,C1,noun,region
aspect,C1,noun,feature
assemble,C1,verb,to gather
assess,C1,verb,to evaluate
assign,C1,verb,to allocate
assist,C1,verb,to help
assume,C1,verb,to suppose
assure,C1,verb,to guarantee
attach,C1,verb,to connect
attain,C1,verb,to achieve
attitude,C1,noun,viewpoint
attribute,C1,verb,to ascribe
author,C1,noun,writer
authority,C1,noun,power
automate,C1,verb,to mechanize
available,C1,adjective,accessible
aware,C1,adjective,conscious
behalf,C1,noun,in support of
benefit,C1,noun,advantage
bias,C1,noun,prejudice
bond,C1,noun,connection
brief,C1,adjective,short
bulk,C1,noun,large quantity
capable,C1,adjective,able
capacity,C1,noun,ability
category,C1,noun,class
cease,C1,verb,to stop
challenge,C1,verb,to question
channel,C1,noun,route
chapter,C1,noun,section
chart,C1,noun,diagram
chemical,C1,noun,substance
circumstance,C1,noun,condition
cite,C1,verb,to quote
civil,C1,adjective,relating to citizens
clarify,C1,verb,to make clear
classic,C1,adjective,traditional
clause,C1,noun,provision
code,C1,noun,system
coherent,C1,adjective,logical
coincide,C1,verb,to occur together
collapse,C1,noun,breakdown
colleague,C1,noun,coworker
commence,C1,verb,to begin
comment,C1,noun,remark
commission,C1,noun,authority
commit,C1,verb,to pledge
commodity,C1,noun,product
communicate,C1,verb,to share information
community,C1,noun,group
compatible,C1,adjective,able to coexist
compensate,C1,verb,to make up for
compile,C1,verb,to collect
complement,C1,noun,addition
complex,C1,noun,group of related things
component,C1,noun,part
compound,C1,noun,mixture
comprehensive,C1,adjective,complete
comprise,C1,verb,to consist of
compute,C1,verb,to calculate
conceive,C1,verb,to imagine
concentrate,C1,verb,to focus
concept,C1,noun,idea
conclude,C1,verb,to finish
concurrent,C1,adjective,simultaneous
conduct,C1,verb,to carry out
confer,C1,verb,to discuss
confine,C1,verb,to restrict
confirm,C1,verb,to verify
conflict,C1,noun,disagreement
conform,C1,verb,to comply
consent,C1,noun,permission
consequent,C1,adjective,resulting
considerable,C1,adjective,significant
consist,C1,verb,to be made up of
constant,C1,noun,unchanging value
constitute,C1,verb,to form
constrain,C1,verb,to limit
construct,C1,verb,to build
consult,C1,verb,to seek advice
consume,C1,verb,to use
contact,C1,noun,communication
contemporary,C1,noun,person of same time
context,C1,noun,setting
contract,C1,noun,agreement
contradict,C1,verb,to oppose
contrary,C1,noun,opposite
contrast,C1,verb,to compare
contribute,C1,verb,to give
controversy,C1,noun,dispute
convene,C1,verb,to gather
converse,C1,verb,to talk
convert,C1,verb,to change
convince,C1,verb,to persuade
cooperate,C1,verb,to work together
coordinate,C1,noun,position
core,C1,adjective,central
corporate,C1,adjective,relating to corporation
correspond,C1,verb,to match
couple,C1,noun,pair
create,C1,verb,to make
credit,C1,noun,acknowledgment
criteria,C1,noun,standards
crucial,C1,adjective,critical
culture,C1,noun,way of life
currency,C1,noun,money
cycle,C1,verb,to repeat
data,C1,noun,information
debate,C1,verb,to discuss
decade,C1,noun,ten years
decline,C1,noun,decrease
deduce,C1,verb,to conclude
define,C1,verb,to explain
definite,C1,adjective,certain
demonstrate,C1,verb,to show
denote,C1,verb,to indicate
deny,C1,verb,to refuse
depress,C1,verb,to sadden
derive,C1,verb,to obtain
design,C1,noun,plan
despite,C1,preposition,in spite of
detect,C1,verb,to discover
deviate,C1,verb,to diverge
device,C1,noun,tool
devote,C1,verb,to dedicate
differentiate,C1,verb,to distinguish
dimension,C1,noun,measurement
diminish,C1,verb,to reduce
discrete,C1,adjective,separate
discriminate,C1,verb,to distinguish
displace,C1,verb,to move
display,C1,noun,exhibition
dispose,C1,verb,to get rid of
distinct,C1,adjective,different
distort,C1,verb,to twist
distribute,C1,verb,to give out
diverse,C1,adjective,varied
document,C1,noun,record
domain,C1,noun,area
domestic,C1,adjective,relating to home
dominate,C1,verb,to control
draft,C1,noun,preliminary version
drama,C1,noun,play
duration,C1,noun,length of time
dynamic,C1,noun,force
economy,C1,noun,financial system
edit,C1,verb,to revise
element,C1,noun,component
eliminate,C1,verb,to remove
emerge,C1,verb,to appear
emphasis,C1,noun,stress
empirical,C1,adjective,based on observation
enable,C1,verb,to allow
encounter,C1,noun,meeting
energy,C1,noun,power
enforce,C1,verb,to compel
enhance,C1,verb,to improve
enormous,C1,adjective,very large
ensure,C1,verb,to guarantee
entity,C1,noun,thing
environment,C1,noun,surroundings
equate,C1,verb,to consider equal
equip,C1,verb,to provide
equivalent,C1,noun,equal thing
erode,C1,verb,to wear away
error,C1,noun,mistake
establish,C1,verb,to set up
estate,C1,noun,property
estimate,C1,verb,to calculate
ethic,C1,noun,moral principle
ethnic,C1,adjective,relating to culture
evaluate,C1,verb,to assess
eventual,C1,adjective,final
evident,C1,adjective,obvious
evolve,C1,verb,to develop
exceed,C1,verb,to go beyond
exclude,C1,verb,to leave out
exhibit,C1,noun,display
expand,C1,verb,to grow
expert,C1,noun,specialist
explicit,C1,adjective,clear
exploit,C1,noun,achievement
export,C1,verb,to send abroad
expose,C1,verb,to reveal
external,C1,adjective,outside
extract,C1,noun,excerpt
facilitate,C1,verb,to make easier
factor,C1,verb,to include
feature,C1,verb,to include
federal,C1,adjective,relating to federation
fee,C1,noun,charge
file,C1,verb,to submit
final,C1,noun,last part
finance,C1,verb,to fund
finite,C1,adjective,limited
flexible,C1,adjective,adaptable
fluctuate,C1,verb,to vary
focus,C1,noun,center of attention
format,C1,verb,to arrange
formula,C1,noun,method
forthcoming,C1,adjective,upcoming
found,C1,verb,to establish
foundation,C1,noun,basis
framework,C1,noun,structure
function,C1,verb,to work
fund,C1,noun,money
fundamental,C1,noun,basic principle
furthermore,C1,adverb,in addition
gender,C1,noun,sex
generate,C1,verb,to produce
generation,C1,noun,age group
globe,C1,noun,world
goal,C1,noun,aim
grade,C1,verb,to classify
grant,C1,noun,gift
guarantee,C1,noun,promise
guideline,C1,noun,recommendation
hence,C1,adverb,therefore
hierarchy,C1,noun,ranking system
highlight,C1,noun,best part
hypothesis,C1,noun,theory
abdicate,C2,verb,to renounce power
aberrant,C2,adjective,deviating from normal
abeyance,C2,noun,temporary suspension
abjure,C2,verb,to renounce under oath
abstruse,C2,adjective,difficult to understand
acerbic,C2,adjective,harsh in tone
acquiesce,C2,verb,to accept reluctantly
acrimonious,C2,adjective,bitter and harsh
acumen,C2,noun,keen insight
adamant,C2,adjective,refusing to change
admonish,C2,verb,to warn firmly
adroit,C2,adjective,skillful
adulation,C2,noun,excessive praise
adversary,C2,noun,opponent
aesthetic,C2,adjective,relating to beauty
affable,C2,adjective,friendly
aggregate,C2,adjective,formed by combining
alacrity,C2,noun,eager willingness
albeit,C2,conjunction,although
alleviate,C2,verb,to reduce severity
allusion,C2,noun,indirect reference
aloof,C2,adjective,distant
altruistic,C2,adjective,selfless
amalgamate,C2,verb,to combine
ambivalent,C2,adjective,having mixed feelings
ameliorate,C2,verb,to improve
amenable,C2,adjective,willing to cooperate
amiable,C2,adjective,friendly
anomaly,C2,noun,deviation from norm
antagonistic,C2,adjective,hostile
antipathy,C2,noun,strong dislike
antiquated,C2,adjective,outdated
apathy,C2,noun,lack of interest
apprehensive,C2,adjective,anxious
arbitrary,C2,adjective,based on random choice
arcane,C2,adjective,mysterious
archaic,C2,adjective,very old
arduous,C2,adjective,difficult
articulate,C2,adjective,well-spoken
ascertain,C2,verb,to find out
ascetic,C2,adjective,practicing self-denial
assiduous,C2,adjective,diligent
assuage,C2,verb,to make less severe
astute,C2,adjective,shrewd
audacious,C2,adjective,bold
augment,C2,verb,to increase
auspicious,C2,adjective,favorable
austere,C2,adjective,severe
avarice,C2,noun,greed
banal,C2,adjective,lacking originality
bellicose,C2,adjective,warlike
benevolent,C2,adjective,kind
benign,C2,adjective,gentle
bolster,C2,verb,to support
boorish,C2,adjective,rude
brevity,C2,noun,conciseness
bureaucratic,C2,adjective,excessively complicated
burgeon,C2,verb,to grow rapidly
cacophony,C2,noun,harsh mixture of sounds
cajole,C2,verb,to persuade by flattery
callous,C2,adjective,emotionally hardened
candor,C2,noun,honesty
capitulate,C2,verb,to surrender
capricious,C2,adjective,unpredictable
castigate,C2,verb,to criticize severely
catalyst,C2,noun,agent of change
caustic,C2,adjective,sarcastic
censure,C2,verb,to criticize formally
charlatan,C2,noun,fraud
chastise,C2,verb,to punish
chicanery,C2,noun,deception
circumspect,C2,adjective,cautious
circumvent,C2,verb,to avoid
clandestine,C2,adjective,secret
clemency,C2,noun,mercy
coalesce,C2,verb,to unite
coerce,C2,verb,to force
cogent,C2,adjective,convincing
cognizant,C2,adjective,aware
commensurate,C2,adjective,proportionate
compel,C2,verb,to force
complacent,C2,adjective,self-satisfied
conciliatory,C2,adjective,intended to pacify
condone,C2,verb,to accept
confound,C2,verb,to confuse
congenial,C2,adjective,pleasant
conjecture,C2,noun,speculation
connoisseur,C2,noun,expert judge
conscientious,C2,adjective,thorough
consolation,C2,noun,comfort
conspicuous,C2,adjective,obvious
contentious,C2,adjective,controversial
contrite,C2,adjective,remorseful
convoluted,C2,adjective,complex
copious,C2,adjective,abundant
corroborate,C2,verb,to confirm
credulous,C2,adjective,too willing to believe
cryptic,C2,adjective,mysterious
cursory,C2,adjective,hasty
curtail,C2,verb,to reduce
cynical,C2,adjective,distrustful
dearth,C2,noun,scarcity
debacle,C2,noun,disaster
debilitate,C2,verb,to weaken
decorum,C2,noun,proper behavior
deferential,C2,adjective,respectful
deleterious,C2,adjective,harmful
delineate,C2,verb,to describe precisely
demagogue,C2,noun,political agitator
demure,C2,adjective,modest
denigrate,C2,verb,to criticize unfairly
deride,C2,verb,to mock
derivative,C2,adjective,unoriginal
desiccate,C2,verb,to dry out
desultory,C2,adjective,lacking purpose
deter,C2,verb,to discourage
detrimental,C2,adjective,harmful
devious,C2,adjective,dishonest
dexterous,C2,adjective,skillful
dichotomy,C2,noun,division into two
didactic,C2,adjective,instructive
diffident,C2,adjective,shy
digress,C2,verb,to deviate from topic
dilapidated,C2,adjective,run-down
diligent,C2,adjective,hardworking
discern,C2,verb,to perceive
discord,C2,noun,disagreement
discrepancy,C2,noun,inconsistency
discretion,C2,noun,careful judgment
disdain,C2,noun,contempt
disparage,C2,verb,to belittle
disparate,C2,adjective,fundamentally different
disseminate,C2,verb,to spread
dissonance,C2,noun,lack of harmony
divergent,C2,adjective,differing
divulge,C2,verb,to reveal
dogmatic,C2,adjective,stubbornly opinionated
dormant,C2,adjective,inactive
dubious,C2,adjective,doubtful
dupe,C2,verb,to deceive
ebullient,C2,adjective,cheerful
eclectic,C2,adjective,diverse
efficacious,C2,adjective,effective
effrontery,C2,noun,audacity
egalitarian,C2,adjective,believing in equality
egregious,C2,adjective,outstandingly bad
elicit,C2,verb,to draw out
elucidate,C2,verb,to clarify
elude,C2,verb,to escape
emaciated,C2,adjective,extremely thin
embellish,C2,verb,to decorate
emulate,C2,verb,to imitate
endemic,C2,adjective,native to region
enigma,C2,noun,mystery
enmity,C2,noun,hostility
ephemeral,C2,adjective,short-lived
equanimity,C2,noun,composure
equivocal,C2,adjective,ambiguous
erudite,C2,adjective,scholarly
esoteric,C2,adjective,obscure
espouse,C2,verb,to adopt
ethereal,C2,adjective,delicate
eulogy,C2,noun,praise speech
euphemism,C2,noun,mild expression
evanescent,C2,adjective,fleeting
exacerbate,C2,verb,to worsen
exacting,C2,adjective,demanding
exculpate,C2,verb,to clear of blame
execrable,C2,adjective,extremely bad
exemplary,C2,adjective,serving as model
exhaustive,C2,adjective,thorough
exhort,C2,verb,to urge strongly
exonerate,C2,verb,to absolve
expedient,C2,adjective,convenient
expedite,C2,verb,to speed up
extol,C2,verb,to praise highly
extraneous,C2,adjective,irrelevant
extrapolate,C2,verb,to estimate
extricate,C2,verb,to free
exuberant,C2,adjective,enthusiastic
fabricate,C2,verb,to invent falsely
facetious,C2,adjective,treating serious issues with humor
fallacious,C2,adjective,based on false logic
fastidious,C2,adjective,very attentive to detail
fatuous,C2,adjective,silly
fecund,C2,adjective,fertile
fervent,C2,adjective,passionate
fidelity,C2,noun,faithfulness
filibuster,C2,noun,obstruction of legislation
flagrant,C2,adjective,obviously offensive
fledgling,C2,noun,beginner
florid,C2,adjective,elaborate
flout,C2,verb,to openly disregard
foment,C2,verb,to instigate
fortuitous,C2,adjective,happening by chance
fracas,C2,noun,noisy disturbance
frugal,C2,adjective,economical
furtive,C2,adjective,secretive
garrulous,C2,adjective,talkative
genial,C2,adjective,friendly
germane,C2,adjective,relevant
glut,C2,noun,excess
grandiose,C2,adjective,impressive
gratuitous,C2,adjective,unnecessary
gregarious,C2,adjective,sociable
guile,C2,noun,cunning
hackneyed,C2,adjective,overused
hapless,C2,adjective,unlucky
harbinger,C2,noun,forerunner
hedonist,C2,noun,pleasure-seeker
hegemony,C2,noun,dominance
heresy,C2,noun,controversial belief
homogeneous,C2,adjective,uniform
hubris,C2,noun,excessive pride
hyperbole,C2,noun,exaggeration
iconoclast,C2,noun,one who attacks tradition
idiosyncrasy,C2,noun,peculiarity
ignominious,C2,adjective,humiliating
illicit,C2,adjective,illegal
imminent,C2,adjective,about to happen
immutable,C2,adjective,unchangeable
impartial,C2,adjective,unbiased
impeccable,C2,adjective,flawless
impecunious,C2,adjective,poor
impede,C2,verb,to hinder
impervious,C2,adjective,impenetrable
impetuous,C2,adjective,impulsive
implacable,C2,adjective,unable to be appeased
implicit,C2,adjective,implied
importune,C2,verb,to harass persistently
impregnable,C2,adjective,impossible to capture
improvident,C2,adjective,not planning ahead
impudent,C2,adjective,disrespectful
impugn,C2,verb,to challenge
impute,C2,verb,to attribute
inadvertent,C2,adjective,unintentional
inane,C2,adjective,silly
inchoate,C2,adjective,just beginning
incisive,C2,adjective,sharp
incontrovertible,C2,adjective,undeniable
incorrigible,C2,adjective,unable to be corrected
indefatigable,C2,adjective,tireless
indigenous,C2,adjective,native
indigent,C2,adjective,poor
indolent,C2,adjective,lazy
indomitable,C2,adjective,impossible to defeat
ineffable,C2,adjective,indescribable
inert,C2,adjective,inactive
